rank_eci_complexity_2008,regional_eci_ranking,country_name,iso_code,eci_2008,rank_income_2009_usd,income_2009_usd,region
1,1/16,JAPAN,JPN,2.316,17,"39,738",EAST ASIA AND PACIFIC
2,1/16,GERMANY,DEU,1.985,16,"40,670",WESTERN EUROPE
3,2/16,SWITZERLAND,CHE,1.935,3,"63,629",WESTERN EUROPE
4,3/16,SWEDEN,SWE,1.859,13,"43,654",WESTERN EUROPE
5,4/16,AUSTRIA,AUT,1.807,10,"45,562",WESTERN EUROPE
6,5/16,FINLAND,FIN,1.715,11,"44,581",WESTERN EUROPE
7,2/16,SINGAPORE,SGP,1.639,19,"36,537",EAST ASIA AND PACIFIC
8,1/27,CZECH REPUBLIC,CZE,1.628,29,"18,139",EASTERN EUROPE AND CENTRAL ASIA
9,6/16,UNITED KINGDOM,GBR,1.558,20,"35,165",WESTERN EUROPE
10,2/27,SLOVENIA,SVN,1.523,27,"23,726",EASTERN EUROPE AND CENTRAL ASIA
11,7/16,FRANCE,FRA,1.473,15,"41,051",WESTERN EUROPE
12,3/16,"KOREA, REP.",KOR,1.469,30,"17,078",EAST ASIA AND PACIFIC
13,1/2,UNITED STATES,USA,1.447,9,"45,989",NORTH AMERICA
14,3/27,HUNGARY,HUN,1.430,37,"12,868",EASTERN EUROPE AND CENTRAL ASIA
15,4/27,SLOVAK REPUBLIC,SVK,1.379,32,"16,176",EASTERN EUROPE AND CENTRAL ASIA
16,8/16,ITALY,ITA,1.308,21,"35,084",WESTERN EUROPE
17,9/16,DENMARK,DNK,1.267,4,"55,992",WESTERN EUROPE
18,10/16,IRELAND,IRL,1.231,6,"51,049",WESTERN EUROPE
19,1/16,ISRAEL,ISR,1.164,26,"26,256",MIDDLE EAST AND NORTH AFRICA
20,1/21,MEXICO,MEX,1.145,49,"8,143",LATIN AMERICA AND THE CARIBBEAN
21,5/27,BELARUS,BLR,1.116,64,"5,075",EASTERN EUROPE AND CENTRAL ASIA
22,11/16,BELGIUM,BEL,1.085,12,"43,671",WESTERN EUROPE
23,12/16,NETHERLANDS,NLD,1.044,8,"47,917",WESTERN EUROPE
24,4/16,"HONG KONG SAR, CHINA",HKG,1.023,23,"30,065",EAST ASIA AND PACIFIC
25,6/27,POLAND,POL,1.020,40,"11,273",EASTERN EUROPE AND CENTRAL ASIA
26,7/27,CROATIA,HRV,0.989,36,"14,222",EASTERN EUROPE AND CENTRAL ASIA
27,8/27,ROMANIA,ROU,0.936,52,"7,500",EASTERN EUROPE AND CENTRAL ASIA
28,13/16,SPAIN,ESP,0.933,22,"31,774",WESTERN EUROPE
29,5/16,CHINA,CHN,0.894,81,"3,744",EAST ASIA AND PACIFIC
30,2/21,PANAMA,PAN,0.831,54,"7,155",LATIN AMERICA AND THE CARIBBEAN
31,6/16,THAILAND,THA,0.814,78,"3,893",EAST ASIA AND PACIFIC
32,9/27,ESTONIA,EST,0.791,35,"14,238",EASTERN EUROPE AND CENTRAL ASIA
33,14/16,NORWAY,NOR,0.777,1,"79,089",WESTERN EUROPE
34,7/16,MALAYSIA,MYS,0.759,55,"7,030",EAST ASIA AND PACIFIC
35,15/16,PORTUGAL,PRT,0.696,28,"21,903",WESTERN EUROPE
36,10/27,LITHUANIA,LTU,0.683,41,"11,141",EASTERN EUROPE AND CENTRAL ASIA
37,11/27,SERBIA,SRB,0.644,60,"5,872",EASTERN EUROPE AND CENTRAL ASIA
38,12/27,BOSNIA AND HERZEGOVINA,BIH,0.597,68,"4,525",EASTERN EUROPE AND CENTRAL ASIA
39,13/27,LATVIA,LVA,0.594,38,"11,616",EASTERN EUROPE AND CENTRAL ASIA
40,14/27,BULGARIA,BGR,0.587,57,"6,423",EASTERN EUROPE AND CENTRAL ASIA
41,2/2,CANADA,CAN,0.571,18,"39,599",NORTH AMERICA
42,15/27,UKRAINE,UKR,0.559,87,"2,468",EASTERN EUROPE AND CENTRAL ASIA
43,16/27,TURKEY,TUR,0.444,47,"8,215",EASTERN EUROPE AND CENTRAL ASIA
44,2/16,LEBANON,LBN,0.403,48,"8,175",MIDDLE EAST AND NORTH AFRICA
45,3/16,JORDAN,JOR,0.325,73,"4,216",MIDDLE EAST AND NORTH AFRICA
46,17/27,RUSSIAN FEDERATION,RUS,0.324,45,"8,684",EASTERN EUROPE AND CENTRAL ASIA
47,4/16,TUNISIA,TUN,0.294,80,"3,792",MIDDLE EAST AND NORTH AFRICA
48,8/16,NEW ZEALAND,NZL,0.287,24,"29,352",EAST ASIA AND PACIFIC
49,3/21,COSTA RICA,CRI,0.278,58,"6,386",LATIN AMERICA AND THE CARIBBEAN
50,18/27,MOLDOVA,MDA,0.266,97,"1,516",EASTERN EUROPE AND CENTRAL ASIA
51,1/4,INDIA,IND,0.247,99,"1,192",SOUTH ASIA
52,4/21,BRAZIL,BRA,0.244,46,"8,230",LATIN AMERICA AND THE CARIBBEAN
53,16/16,GREECE,GRC,0.214,25,"29,240",WESTERN EUROPE
54,5/21,COLOMBIA,COL,0.200,63,"5,126",LATIN AMERICA AND THE CARIBBEAN
