rank_exp_growth_in_gdp_pc,regional_ranking_exp_growth_in_gdp_pc,country_name,iso_code,expected_growth_in_gdp_pc_2009_2020,growth_in_gdp_pc_1999_2009,rank_income_2009_usd,income_2009_usd,rank_income_2020,expected_income_2020_usd,region
1,1/16,CHINA,CHN,4.32%,9.6%,81,"3,744",70,"5,962",EAST ASIA AND PACIFIC
2,1/4,INDIA,IND,4.26%,5.6%,99,"1,192",97,"1,886",SOUTH ASIA
3,2/16,THAILAND,THA,4.05%,3.1%,78,"3,893",69,"6,023",EAST ASIA AND PACIFIC
4,1/27,BELARUS,BLR,3.99%,7.9%,64,"5,075",61,"7,806",EASTERN EUROPE AND CENTRAL ASIA
5,2/27,MOLDOVA,MDA,3.95%,4.8%,97,"1,516",95,"2,321",EASTERN EUROPE AND CENTRAL ASIA
6,1/26,ZIMBABWE,ZWE,3.79%,-6.2%,123,449,122,676,SUB-SAHARAN AFRICA
7,3/27,UKRAINE,UKR,3.73%,5.2%,87,"2,468",84,"3,694",EASTERN EUROPE AND CENTRAL ASIA
8,4/27,BOSNIA AND HERZEGOVINA,BIH,3.59%,4.1%,68,"4,525",65,"6,669",EASTERN EUROPE AND CENTRAL ASIA
9,1/21,PANAMA,PAN,3.58%,3.9%,54,"7,155",51,"10,529",LATIN AMERICA AND THE CARIBBEAN
10,2/21,MEXICO,MEX,3.50%,0.8%,49,"8,143",44,"11,894",LATIN AMERICA AND THE CARIBBEAN
11,3/16,PHILIPPINES,PHL,3.50%,2.6%,95,"1,752",93,"2,560",EAST ASIA AND PACIFIC
12,4/16,VIETNAM,VNM,3.48%,6.0%,105,"1,113",99,"1,622",EAST ASIA AND PACIFIC
13,2/26,KENYA,KEN,3.46%,0.9%,115,738,114,"1,073",SUB-SAHARAN AFRICA
14,1/16,JORDAN,JOR,3.42%,3.7%,73,"4,216",68,"6,101",MIDDLE EAST AND NORTH AFRICA
15,5/27,KYRGYZ REPUBLIC,KGZ,3.41%,3.7%,114,860,111,"1,244",EASTERN EUROPE AND CENTRAL ASIA
16,6/27,ROMANIA,ROU,3.39%,4.9%,52,"7,500",50,"10,823",EASTERN EUROPE AND CENTRAL ASIA
17,7/27,SERBIA,SRB,3.38%,3.9%,60,"5,872",58,"8,467",EASTERN EUROPE AND CENTRAL ASIA
18,2/16,"EGYPT, ARAB REP.",EGY,3.37%,2.9%,90,"2,270",89,"3,268",MIDDLE EAST AND NORTH AFRICA
19,3/16,TUNISIA,TUN,3.36%,3.6%,80,"3,792",75,"5,456",MIDDLE EAST AND NORTH AFRICA
20,5/16,MALAYSIA,MYS,3.32%,2.8%,55,"7,030",53,"10,071",EAST ASIA AND PACIFIC
21,6/16,INDONESIA,IDN,3.32%,3.8%,89,"2,349",86,"3,363",EAST ASIA AND PACIFIC
22,8/27,HUNGARY,HUN,3.31%,2.9%,37,"12,868",36,"18,420",EASTERN EUROPE AND CENTRAL ASIA
23,9/27,BULGARIA,BGR,3.30%,5.5%,57,"6,423",54,"9,178",EASTERN EUROPE AND CENTRAL ASIA
24,3/26,UGANDA,UGA,3.29%,3.7%,122,490,120,700,SUB-SAHARAN AFRICA
25,4/26,SENEGAL,SEN,3.27%,1.3%,109,"1,023",101,"1,457",SUB-SAHARAN AFRICA
26,10/27,CZECH REPUBLIC,CZE,3.11%,3.1%,29,"18,139",29,"25,415",EASTERN EUROPE AND CENTRAL ASIA
27,2/4,PAKISTAN,PAK,3.11%,2.2%,111,955,107,"1,336",SOUTH ASIA
28,7/16,"KOREA, REP.",KOR,3.09%,3.9%,30,"17,078",30,23.866,EAST ASIA AND PACIFIC
29,11/27,SLOVAK REPUBLIC,SVK,3.08%,4.4%,32,"16,176",31,"22,579",EASTERN EUROPE AND CENTRAL ASIA
30,12/27,POLAND,POL,3.07%,4.1%,40,"11,273",38,"15,727",EASTERN EUROPE AND CENTRAL ASIA
31,3/21,EL SALVADOR,SLV,3.06%,1.7%,82,"3,424",79,"4,770",LATIN AMERICA AND THE CARIBBEAN
32,13/27,ALBANIA,ALB,3.05%,5.2%,79,"3,808",76,"5,302",EASTERN EUROPE AND CENTRAL ASIA
33,4/16,LEBANON,LBN,3.05%,3.3%,48,"8,175",46,"11,373",MIDDLE EAST AND NORTH AFRICA
34,5/26,MADAGASCAR,MDG,3.03%,0.2%,124,438,123,608,SUB-SAHARAN AFRICA
35,4/21,GUATEMALA,GTM,3.02%,0.9%,84,"2,661",85,"3,693",LATIN AMERICA AND THE CARIBBEAN
36,5/21,COLOMBIA,COL,3.02%,2.4%,63,"5,126",64,"7,107",LATIN AMERICA AND THE CARIBBEAN
37,3/4,SRI LANKA,LKA,2.97%,4.1%,92,"2,068",91,"2,852",SOUTH ASIA
38,6/21,COSTA RICA,CRI,2.97%,2.1%,58,"6,386",56,"8,807",LATIN AMERICA AND THE CARIBBEAN
39,6/26,TANZANIA,TZA,2.93%,3.9%,121,503,121,691,SUB-SAHARAN AFRICA
40,14/27,CROATIA,HRV,2.92%,3.5%,36,"14,222",32,"19,528",EASTERN EUROPE AND CENTRAL ASIA
41,7/26,SOUTH AFRICA,ZAF,2.90%,2.2%,61,"5,786",60,"7,920",SUB-SAHARAN AFRICA
42,15/27,"MACEDONIA, FYR",MKD,2.84%,2.3%,69,"4,515",67,"6,141",EASTERN EUROPE AND CENTRAL ASIA
43,16/27,TURKEY,TUR,2.83%,2.3%,47,"8,215",47,"11,168",EASTERN EUROPE AND CENTRAL ASIA
44,5/16,SYRIAN ARAB REPUBLIC,SYR,2.78%,1.4%,86,"2,474",87,"3,346",MIDDLE EAST AND NORTH AFRICA
45,7/21,DOMINICAN REPUBLIC,DOM,2.78%,3.5%,66,"4,637",66,"6,272",LATIN AMERICA AND THE CARIBBEAN
46,17/27,GEORGIA,GEO,2.77%,6.2%,88,"2,449",88,"3,308",EASTERN EUROPE AND CENTRAL ASIA
47,18/27,LITHUANIA,LTU,2.76%,5.1%,41,"11,141",40,"15,034",EASTERN EUROPE AND CENTRAL ASIA
48,8/21,BRAZIL,BRA,2.73%,2.0%,46,"8,230",48,"11,067",LATIN AMERICA AND THE CARIBBEAN
49,19/27,SLOVENIA,SVN,2.72%,2.7%,27,"23,726",27,"31,881",EASTERN EUROPE AND CENTRAL ASIA
50,8/16,JAPAN,JPN,2.71%,0.6%,17,"39,738",14,"53,304",EAST ASIA AND PACIFIC
51,9/16,CAMBODIA,KHM,2.66%,6.3%,117,706,116,942,EAST ASIA AND PACIFIC
52,20/27,ESTONIA,EST,2.65%,5.0%,35,"14,238",34,"18,984",EASTERN EUROPE AND CENTRAL ASIA
53,21/27,LATVIA,LVA,2.63%,5.0%,38,"11,616",39,"15,454",EASTERN EUROPE AND CENTRAL ASIA
54,9/21,ARGENTINA,ARG,2.61%,2.3%,50,"7,626",52,"10,130",LATIN AMERICA AND THE CARIBBEAN
55,22/27,UZBEKISTAN,UZB,2.61%,5.1%,101,"1,156",100,"1,534",EASTERN EUROPE AND CENTRAL ASIA
56,6/16,MOROCCO,MAR,2.60%,3.5%,83,"2,811",83,"3,727",MIDDLE EAST AND NORTH AFRICA
57,10/21,NICARAGUA,NIC,2.60%,1.5%,108,"1,069",102,"1,417",LATIN AMERICA AND THE CARIBBEAN
