rank_expected_gdp_growth,regional_rank_expected_gdp_growth,country_name,iso_code,expected_gdp_growth_2009_2020,growth_1998_2008,rank_income_2009_usd,income_2009_usd,rank_income_2020,expected_income_2020_usd,expected_population_growth,region
1,1/26,UGANDA,UGA,6.41%,4.1%,122,490,120,700,3.11%,SUB-SAHARAN AFRICA
2,2/26,KENYA,KEN,6.10%,0.9%,115,738,114,"1,073",2.64%,SUB-SAHARAN AFRICA
3,3/26,TANZANIA,TZA,6.07%,3.8%,121,503,121,691,3.14%,SUB-SAHARAN AFRICA
4,4/26,ZIMBABWE,ZWE,5.93%,-7.1%,123,449,122,676,2.14%,SUB-SAHARAN AFRICA
5,5/26,MADAGASCAR,MDG,5.85%,1.0%,124,438,123,608,2.82%,SUB-SAHARAN AFRICA
6,6/26,SENEGAL,SEN,5.82%,1.6%,109,"1,023",101,"1,457",2.55%,SUB-SAHARAN AFRICA
7,7/26,MALAWI,MWI,5.60%,0.6%,128,310,127,396,3.33%,SUB-SAHARAN AFRICA
8,1/4,INDIA,IND,5.51%,5.4%,99,"1,192",97,"1,886",1.25%,SOUTH ASIA
9,1/21,GUATEMALA,GTM,5.50%,1.2%,84,"2,661",85,"3,693",2.48%,LATIN AMERICA AND THE CARIBBEAN
10,8/26,ZAMBIA,ZMB,5.25%,2.3%,110,990,112,"1,239",3.19%,SUB-SAHARAN AFRICA
11,1/16,JORDAN,JOR,5.18%,3.9%,73,"4,216",68,"6,101",1.76%,MIDDLE EAST AND NORTH AFRICA
12,1/16,PHILIPPINES,PHL,5.14%,2.8%,95,"1,752",93,"2,560",1.64%,EAST ASIA AND PACIFIC
13,2/21,PANAMA,PAN,4.97%,4.0%,54,"7,155",51,"10,529",1.39%,LATIN AMERICA AND THE CARIBBEAN
14,2/16,"EGYPT, ARAB REP.",EGY,4.94%,3.1%,90,"2,270",89,"3,268",1.57%,MIDDLE EAST AND NORTH AFRICA
15,2/16,MALAYSIA,MYS,4.83%,3.5%,55,"7,030",53,"10,071",1.51%,EAST ASIA AND PACIFIC
16,3/16,"YEMEN, REP.",YEM,4.83%,0.9%,104,"1,118",106,"1,369",2.97%,MIDDLE EAST AND NORTH AFRICA
17,9/26,MALI,MLI,4.81%,3.2%,118,691,118,848,2.94%,SUB-SAHARAN AFRICA
18,2/4,PAKISTAN,PAK,4.80%,2.2%,111,955,107,"1,336",1.69%,SOUTH ASIA
19,10/26,LIBERIA,LBR,4.67%,-0.1%,129,222,128,278,2.61%,SUB-SAHARAN AFRICA
20,3/16,CHINA,CHN,4.66%,9.4%,81,"3,744",70,"5,962",0.34%,EAST ASIA AND PACIFIC
21,1/27,KYRGYZ REPUBLIC,KGZ,4.61%,3.8%,114,860,111,"1,244",1.20%,EASTERN EUROPE AND CENTRAL ASIA
22,3/21,MEXICO,MEX,4.56%,1.8%,49,"8,143",44,"11,894",1.05%,LATIN AMERICA AND THE CARIBBEAN
23,11/26,ETHIOPIA,ETH,4.52%,4.8%,127,344,126,453,1.99%,SUB-SAHARAN AFRICA
24,4/21,HONDURAS,HND,4.49%,2.3%,93,"1,918",94,"2,540",1.90%,LATIN AMERICA AND THE CARIBBEAN
25,4/16,THAILAND,THA,4.47%,3.8%,78,"3,893",69,"6,023",0.42%,EAST ASIA AND PACIFIC
