ranking_contribution_to_world_gdp_growth_to_2020,regional_ranking_contribution_to_world_gdp_growth_to_2020,country_name,iso_code,contribution_to_world_gdp_growth_to_2020,region
1,1/2,UNITED STATES,USA,22.41%,NORTH AMERICA
2,1/16,CHINA,CHN,14.21%,EAST ASIA AND PACIFIC
3,2/16,JAPAN,JPN,7.11%,EAST ASIA AND PACIFIC
4,1/4,INDIA,IND,4.89%,SOUTH ASIA
5,1/16,GERMANY,DEU,3.88%,WESTERN EUROPE
6,2/16,FRANCE,FRA,3.64%,WESTERN EUROPE
7,3/16,UNITED KINGDOM,GBR,3.33%,WESTERN EUROPE
8,1/21,BRAZIL,BRA,3.22%,LATIN AMERICA AND THE CARIBBEAN
9,4/16,ITALY,ITA,2.63%,WESTERN EUROPE
10,2/21,MEXICO,MEX,2.44%,LATIN AMERICA AND THE CARIBBEAN
11,5/16,SPAIN,ESP,2.12%,WESTERN EUROPE
12,2/2,CANADA,CAN,1.88%,NORTH AMERICA
13,3/16,"KOREA, REP.",KOR,1.63%,EAST ASIA AND PACIFIC
14,1/27,RUSSIAN FEDERATION,RUS,1.63%,EASTERN EUROPE AND CENTRAL ASIA
15,2/27,TURKEY,TUR,1.41%,EASTERN EUROPE AND CENTRAL ASIA
16,4/16,INDONESIA,IDN,1.37%,EAST ASIA AND PACIFIC
17,5/16,AUSTRALIA,AUS,1.26%,EAST ASIA AND PACIFIC
18,1/16,SAUDI ARABIA,SAU,0.85%,MIDDLE EAST AND NORTH AFRICA
19,6/16,NETHERLANDS,NLD,0.83%,WESTERN EUROPE
20,3/27,POLAND,POL,0.75%,EASTERN EUROPE AND CENTRAL ASIA
21,6/16,THAILAND,THA,0.71%,EAST ASIA AND PACIFIC
22,3/21,ARGENTINA,ARG,0.61%,LATIN AMERICA AND THE CARIBBEAN
23,4/21,COLOMBIA,COL,0.59%,LATIN AMERICA AND THE CARIBBEAN
24,2/16,"EGYPT, ARAB REP.",EGY,0.58%,MIDDLE EAST AND NORTH AFRICA
25,7/16,SWEDEN,SWE,0.58%,WESTERN EUROPE
26,7/16,MALAYSIA,MYS,0.58%,EAST ASIA AND PACIFIC
27,8/16,SWITZERLAND,CHE,0.56%,WESTERN EUROPE
28,1/26,SOUTH AFRICA,ZAF,0.55%,SUB-SAHARAN AFRICA
29,9/16,BELGIUM,BEL,0.54%,WESTERN EUROPE
30,8/16,PHILIPPINES,PHL,0.53%,EAST ASIA AND PACIFIC
31,2/4,PAKISTAN,PAK,0.48%,SOUTH ASIA
32,5/21,"VENEZUELA, RB",VEN,0.48%,LATIN AMERICA AND THE CARIBBEAN
33,3/16,ISRAEL,ISR,0.47%,MIDDLE EAST AND NORTH AFRICA
34,10/16,AUSTRIA,AUT,0.46%,WESTERN EUROPE
